Name,Category ,Price,Description
Mediterranean Box,Cultural Boxes,49.99,"Transport your taste buds to the Mediterranean with Farm to Fork's Mediterranean Box! Packed with fresh, vibrant ingredients and authentic flavours, this box brings together the best of the Mediterranean diet, featuring dishes like creamy hummus, Savory falafel, and zesty Greek salad. Perfect for anyone craving healthy, delicious meals that are full of flavour and easy to prepare."
West African Box,Cultural Boxes,49.99,"Features staples like yams, plantains, and leafy greens for hearty meals. Ideal for creating traditional West African dishes like stews and soups. Ethically sourced for quality and freshness. Packed with vibrant ingredients for authentic flavours. Celebrate the bold and nourishing cuisine of West Africa. Perfect for exploring new and exciting culinary traditions. Unlock the true essence of African cooking with every box."
Middle Eastern Box,Cultural Boxes,49.99,"Includes eggplants, parsley, pomegranates, and other fresh staples. Perfect for preparing mezze spreads, kebabs, and flavourful rice dishes. Sustainably grown and locally delivered for maximum freshness. Bring the spices and richness of the Middle East to your kitchen. An ideal choice for adventurous cooks and food lovers alike. Explore the diversity of Middle Eastern cuisine with ease. Experience the magic of these timeless, flavourful ingredients."
South Asian Box,Cultural Boxes,49.99,"Packed with turmeric, curry leaves, and versatile vegetables. Ideal for creating curries, dals, chutneys, and spiced rice dishes. Locally sourced to reduce environmental impact while delivering top quality. Experience the vibrant spices and diverse flavours of South Asia. A flavourful box for authentic, home-cooked meals. Perfect for adding bold, aromatic dishes to your menu. Take your cooking to the next level with this flavourful assortment."
South East Asian Box,Cultural Boxes,49.99,""
Fruit Box,Seasonal Boxes,23.99,""
Vegetable Box,Seasonal Boxes,25.99,""
Herbs & Spices Box,Seasonal Boxes,13.99,""
Leafy Greens Box,Seasonal Boxes,21.5,""
Tubers & Roots Box,Seasonal Boxes,25.99,""
Dairy Box, Meat/Dairy Boxes,19.99,""
Steak Box, Meat/Dairy Boxes,47.99,""
Chicken Box, Meat/Dairy Boxes,35.99,""
Variety Box, Meat/Dairy Boxes,39.99,""
BBQ Box,Meat/Dairy Boxes,43.99,""
Mixed Box,Dynamic Pricing ,25,""
Middle Eastern Box,Dynamic Pricing ,25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
Fruit Box,Dynamic Pricing ,25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
Leafy Greens Box,Dynamic Pricing ,25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
Vegetable Box,Dynamic Pricing ,25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
South West Box,Locally Sourced Box,36.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
East Midlands Box,Locally Sourced Box,36.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
East of England Box ,Locally Sourced Box,36.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
Yorkshire Box,Locally Sourced Box,36.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
South East Asian Box,Locally Sourced Box,36.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
